run,1,2,3,4,5,6,7,8,9,10,11,12
AC inverter output power (W) - Hour 48,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 49,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 50,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 51,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 52,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 53,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 54,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 55,47429.4,47429.4,47429.4,47429.4,47923.5,47923.5,47923.5,47923.5,48417.5,48417.5,48417.5,48417.5
AC inverter output power (W) - Hour 56,158983,158983,158983,158983,160639,160639,160639,160639,162295,162295,162295,162295
AC inverter output power (W) - Hour 57,252870,252870,252870,252870,255504,255504,255504,255504,258138,258138,258138,258138
AC inverter output power (W) - Hour 58,313477,313477,313477,313477,316743,316743,316743,316743,320008,320008,320008,320008
AC inverter output power (W) - Hour 59,362602,362602,362602,362602,366379,366379,366379,366379,370156,370156,370156,370156
AC inverter output power (W) - Hour 60,355530,355530,355530,355530,359234,359234,359234,359234,362937,362937,362937,362937
AC inverter output power (W) - Hour 61,315807,315807,315807,315807,319096,319096,319096,319096,322386,322386,322386,322386
AC inverter output power (W) - Hour 62,246004,246004,246004,246004,248566,248566,248566,248566,251129,251129,251129,251129
AC inverter output power (W) - Hour 63,140089,140089,140089,140089,141548,141548,141548,141548,143008,143008,143008,143008
AC inverter output power (W) - Hour 64,14692.8,14692.8,14692.8,14692.8,14845.8,14845.8,14845.8,14845.8,14998.9,14998.9,14998.9,14998.9
AC inverter output power (W) - Hour 65,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 66,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 67,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 68,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 69,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 70,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 71,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 72,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 73,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 74,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 75,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 76,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 77,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 78,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 79,74445.5,74445.5,74445.5,74445.5,75221,75221,75221,75221,75996.4,75996.4,75996.4,75996.4
AC inverter output power (W) - Hour 80,193721,193721,193721,193721,195739,195739,195739,195739,197757,197757,197757,197757
AC inverter output power (W) - Hour 81,276699,276699,276699,276699,279581,279581,279581,279581,282463,282463,282463,282463
AC inverter output power (W) - Hour 82,328304,328304,328304,328304,331724,331724,331724,331724,335144,335144,335144,335144
